"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"983",15660061,101087428,"Veerle",2016-10-24,"within an hour","90","100","t","Apartment",98,0,99,"Ghent",99,-0.4,0.9,1,0,1,7.95
"984",16701149,110630447,"Kristof",2017-01-09,"within an hour","100","99","t","Apartment",65,NA,92,"Ghent",95,-0.49,1,0.99,0,1,7.97
"985",17196233,115767658,"Marie Jeanne",2017-02-10,"within an hour","100","100","t","Apartment",75,0,95,"Ghent",95,-0.53,1,1,0,1,7.97
"986",17384238,55085840,"Claire",2016-01-18,"within an hour","100","99","t","Apartment",48,0,99,"Ghent",98,-0.06,1,0.99,0,1,8.4
"987",17566356,16851605,"Felicia",2014-06-16,"within an hour","100","98","t","Townhouse",22,NA,95,"Ghent",95,0.65,1,0.98,0,1,9.07
"988",18875514,48898791,"Joren",2015-11-12,"within an hour","100","99","t","Condominium",70,NA,96,"Ghent",96,0.03,1,0.99,0,1,8.49
"989",18891699,131643434,"Mileen",2017-05-23,"within an hour","100","100","t","Loft",100,NA,100,"Ghent",98,-0.65,1,1,0,1,7.85
"990",18920831,10881977,"Nancy",2013-12-29,"within an hour","100","100","t","House",85,NA,95,"Ghent",95,0.86,1,1,0,1,9.36
"991",18986082,7553700,"Bram",2013-07-17,"within an hour","100","95","t","Apartment",80,NA,96,"Ghent",96,1.06,1,0.95,0,1,9.36
"992",19152623,7561538,"Llotte",2013-07-18,"within an hour","100","100","t","Apartment",37,NA,97,"Ghent",97,1.06,1,1,0,1,9.56
"993",19179954,17989110,"Jean Pierre En Christel",2014-07-12,"within an hour","100","97","t","Apartment",75,500,99,"Ghent",99,0.62,1,0.97,6.67,0.87,8.6
"994",19279395,121003233,"Hilde",2017-03-16,"within an hour","100","99","t","Townhouse",85,0,100,"Ghent",100,-0.57,1,0.99,0,1,7.89
"995",19290358,13832946,"Bart",2014-04-02,"within an hour","100","59","t","Apartment",55,0,97,"Ghent",97,0.74,1,0.59,0,1,7.6
