"","reviews_per_month","availability_30","price","id","place"
"2956",0.03,0,45,3755185,"Brussels"
"2957",0.32,0,65,3757590,"Brussels"
"2958",0.33,0,50,3764198,"Brussels"
"2959",0.34,18,30,3779804,"Brussels"
"2960",4.36,29,120,3780118,"Brussels"
"2961",0.07,0,59,3781339,"Brussels"
"2962",0.2,0,53,3785100,"Brussels"
"2963",1.11,0,90,3785879,"Brussels"
"2964",2.61,0,34,3787759,"Brussels"
"2965",0.23,0,48,3797185,"Brussels"
"2966",0.06,0,50,3799359,"Brussels"
"2967",4.08,0,39,3816021,"Brussels"
"2968",2.06,30,85,3816674,"Brussels"
"2969",NA,10,55,3820543,"Brussels"
"2970",0.12,0,29,3822713,"Brussels"
"2971",0.24,0,55,3824884,"Brussels"
"2972",0.14,0,25,3832032,"Brussels"
"2973",1.34,18,25,3835232,"Brussels"
"2974",0.32,0,60,3837533,"Brussels"
"2975",0.09,0,80,3837625,"Brussels"
"2976",0.11,0,50,3848862,"Brussels"
"2977",0.14,0,79,3854121,"Brussels"
"2978",0.22,0,50,3855572,"Brussels"
"2979",0.19,0,74,3871886,"Brussels"
"2980",1.64,30,50,3871891,"Brussels"
"2981",1.91,30,229,3877055,"Brussels"
"2982",2.38,0,35,3881056,"Brussels"
"2983",2.71,18,62,3883126,"Brussels"
"2984",0.08,0,65,3888482,"Brussels"
"2985",0.12,28,45,3894197,"Brussels"
"2986",0.52,0,25,3896915,"Brussels"
"2987",2.86,0,70,3914368,"Brussels"
"2988",1.01,15,75,3918003,"Brussels"
"2989",2.67,30,229,3931171,"Brussels"
"2990",2.5,13,50,3955589,"Brussels"
"2991",0.18,0,69,3956281,"Brussels"
"2992",1.45,0,229,3961475,"Brussels"
"2993",7.61,28,76,3966399,"Brussels"
"2994",6.65,26,67,3969660,"Brussels"
"2995",1.35,30,29,3996334,"Brussels"
"2996",0.5,29,170,4006327,"Brussels"
"2997",0.05,0,70,4019479,"Brussels"
"2998",0.62,0,1000,4063713,"Brussels"
"2999",0.07,30,69,4064335,"Brussels"
"3000",0.12,29,70,4074653,"Brussels"
"3001",5.25,30,47,4082659,"Brussels"
"3002",3.44,30,35,4095071,"Brussels"
"3003",1.39,0,120,4109019,"Brussels"
"3004",2.04,30,80,4132812,"Brussels"
"3005",0.82,30,189,4133836,"Brussels"
"3006",0.04,29,995,4134034,"Brussels"
"3007",0.04,30,45,4154605,"Brussels"
"3008",0.17,0,75,4161439,"Brussels"
"3009",0.36,29,85,4167206,"Brussels"
"3010",0.09,0,29,4175853,"Brussels"
"3011",0.67,0,48,4184379,"Brussels"
"3012",0.13,0,80,4185461,"Brussels"
"3013",0.07,0,47,4187700,"Brussels"
"3014",NA,0,40,4212336,"Brussels"
"3015",0.99,30,36,4213027,"Brussels"
